ticket_text,intent,urgency
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
Please return my money,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
I want a refund for my order,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
Please return my money,refund_request,medium
I want a refund for my order,refund_request,medium
Refund my recent purchase,refund_request,medium
Refund my recent purchase,refund_request,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
Password reset not working,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
My account is locked,login_issue,medium
I cannot login,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
I cannot login,login_issue,medium
Password reset not working,login_issue,medium
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
Dashboard is broken,bug_report,high
Dashboard is broken,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
The app crashes,bug_report,high
Payment page not loading,bug_report,high
The app crashes,bug_report,high
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unknown payment from my account,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Unauthorized charge on my card,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Fraudulent transaction detected,billing_fraud,critical
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Stop auto renewal,subscription_cancel,low
I want to end my plan,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
I want to end my plan,subscription_cancel,low
Cancel my subscription,subscription_cancel,low
